,JE6 R1,JE6 R2,JE6 R3,JE6 R4,JE6 R5,J.TCPTP- R1,J.TCPTP- R2,J.TCPTP- R3,J.TCPTP- R4,J.PTPN22- R1,J.PTPN22- R2,J.PTPN22- R3,J.PTPN22- R5,J.SHP1- R1,J.SHP1- R2,J.SHP1- R3,J.SHP1- R4,J.SHP1- R5
878,14073000.0,13691065.0,12714265.0,14143000.0,12399000.0,16645000.0,15111160.0,8140500.0,17057000.0,18920000.0,14890175.0,15150695.0,16758000.0,12495000.0,9819500.0,11072000.0,14060000.0,11574195.0
879,33468000.0,37374000.0,46874000.0,50620000.0,31469000.0,42070000.0,37479000.0,68346000.0,53436000.0,188030000.0,44814000.0,23163000.0,62592000.0,41259000.0,47799000.0,40812000.0,41177000.0,44846000.0
880,170120000.0,191990000.0,227420000.0,185640000.0,201830000.0,134920000.0,140450000.0,165240000.0,154200000.0,181370000.0,189710000.0,151340000.0,176030000.0,179660000.0,212840000.0,181470000.0,206330000.0,183380000.0
881,11937000.0,12372000.0,18821000.0,11942000.0,12198000.0,9904000.0,11054000.0,12940000.0,11755000.0,10327000.0,14428000.0,12654000.0,14079000.0,11715000.0,10863000.0,15182000.0,12591220.0,11663000.0
882,137780000.0,148700000.0,169680000.0,147700000.0,151210000.0,135220000.0,160300000.0,188990000.0,144990000.0,171450000.0,157430000.0,148820000.0,161900000.0,127310000.0,161250000.0,145530000.0,139360000.0,140720000.0
883,22719000.0,21909000.0,23258000.0,22066000.0,23303000.0,20916000.0,29556000.0,25134000.0,21336000.0,29014000.0,32330000.0,25544000.0,22944000.0,13261000.0,10523000.0,13420000.0,13101000.0,11179000.0
884,5671040.0,4569800.0,6587500.0,5897281.0,4798200.0,6466298.0,7190400.0,6662900.0,8501000.0,6137320.0,5750900.0,4509500.0,5059600.0,6609729.0,5996500.0,6262400.0,6698845.0,7771400.0
885,18557000.0,22454000.0,31996000.0,28526000.0,16295000.0,21746000.0,21852000.0,43113000.0,45935000.0,37575000.0,31485000.0,31008000.0,27252000.0,20905000.0,23535000.0,15437000.0,15144000.0,23595000.0
886,10695000.0,9105900.0,12924000.0,12019306.0,11620000.0,14941000.0,11617000.0,16316000.0,16652000.0,21337000.0,14870000.0,10929000.0,14592000.0,12083000.0,9731300.0,9403500.0,12203785.0,7773700.0
887,4704000.0,5462700.0,2467000.0,8828100.0,6374500.0,3869300.0,5834000.0,5403800.0,8800500.0,12639000.0,5623700.0,5275700.0,5416400.0,6301800.0,6659200.0,6901400.0,8855900.0,5689900.0
888,24268000.0,31058000.0,37851000.0,30100000.0,35065000.0,26019000.0,31768000.0,41639000.0,32162000.0,44780000.0,38225000.0,32057000.0,39215000.0,32408000.0,35796000.0,39385000.0,36251000.0,38846000.0
889,27623000.0,46952000.0,28105000.0,35204200.0,23224000.0,35636970.0,36223720.0,53942000.0,35802040.0,32301020.0,31818390.0,33603760.0,21081000.0,34831580.0,35808500.0,34605990.0,35367670.0,35765020.0
890,87581000.0,100970000.0,112750000.0,90544000.0,101760000.0,77279000.0,91910000.0,111570000.0,105810000.0,112510000.0,113690000.0,86297000.0,111400000.0,89924000.0,106760000.0,95005000.0,105490000.0,96187000.0
891,39196000.0,41551000.0,57314000.0,49351000.0,45419000.0,46786000.0,48644000.0,62976000.0,51935000.0,62804000.0,64085000.0,54408000.0,62273000.0,58478000.0,63617000.0,62649000.0,60541000.0,62510000.0
892,24948000.0,21763000.0,26618000.0,20877000.0,24428000.0,19476000.0,20649000.0,29162000.0,24171000.0,24550000.0,22472000.0,19634000.0,27755000.0,22209000.0,26720000.0,24634000.0,19597000.0,28634000.0
